num_of_agents,num_of_items_per_agent,L,random_valuation,D,num_of_items,greedy_approximation,greedy_approximation_to_total,greedy_approximation_to_MMS,weak_greedy_approximation,weak_greedy_approximation_to_total,weak_greedy_approximation_to_MMS
4,4,1,uniform_distribution_low,6,16,1321,16,64,1321,16,64
4,4,2,uniform_distribution_low,10,16,1374,17,71,1370,17,71
4,4,3,uniform_distribution_low,14,16,705,8,34,618,7,30
4,4,4,uniform_distribution_low,18,16,243,2,11,0,0,0
4,4,5,uniform_distribution_low,22,16,0,0,0,0,0,0
4,4,6,uniform_distribution_low,26,16,0,0,0,0,0,0
4,4,7,uniform_distribution_low,30,16,0,0,0,0,0,0
4,4,8,uniform_distribution_low,34,16,0,0,0,0,0,0
4,4,9,uniform_distribution_low,38,16,0,0,0,0,0,0
4,8,1,uniform_distribution_low,6,32,2529,16,65,2529,16,65
4,8,2,uniform_distribution_low,10,32,2593,19,77,2590,19,77
4,8,3,uniform_distribution_low,14,32,3016,20,83,2994,20,82
4,8,4,uniform_distribution_low,18,32,3395,19,79,3368,19,78
4,8,5,uniform_distribution_low,22,32,2206,15,63,2150,15,61
4,8,6,uniform_distribution_low,26,32,1988,12,49,1824,11,45
4,8,7,uniform_distribution_low,30,32,857,5,23,217,1,5
4,8,8,uniform_distribution_low,34,32,968,5,21,0,0,0
4,8,9,uniform_distribution_low,38,32,293,1,6,0,0,0
4,12,1,uniform_distribution_low,6,48,4069,16,65,4069,16,65
4,12,2,uniform_distribution_low,10,48,4544,19,78,4540,19,78
4,12,3,uniform_distribution_low,14,48,5341,20,82,5310,20,82
4,12,4,uniform_distribution_low,18,48,5576,21,86,5556,21,86
4,12,5,uniform_distribution_low,22,48,5581,22,88,5555,22,88
4,12,6,uniform_distribution_low,26,48,5219,21,87,5124,21,86
4,12,7,uniform_distribution_low,30,48,4745,19,79,4634,19,77
4,12,8,uniform_distribution_low,34,48,4519,18,74,4400,18,72
4,12,9,uniform_distribution_low,38,48,3644,14,57,3411,13,54
4,16,1,uniform_distribution_low,6,64,5541,16,66,5541,16,66
4,16,2,uniform_distribution_low,10,64,6192,19,78,6184,19,78
4,16,3,uniform_distribution_low,14,64,6409,21,84,6399,20,83
4,16,4,uniform_distribution_low,18,64,6703,21,87,6692,21,87
4,16,5,uniform_distribution_low,22,64,7239,20,83,7165,20,83
4,16,6,uniform_distribution_low,26,64,7526,22,90,7488,22,90
4,16,7,uniform_distribution_low,30,64,6644,22,91,6622,22,91
4,16,8,uniform_distribution_low,34,64,5488,21,85,5440,21,85
4,16,9,uniform_distribution_low,38,64,6894,21,86,6651,20,83
4,20,1,uniform_distribution_low,6,80,6437,16,66,6437,16,66
4,20,2,uniform_distribution_low,10,80,7826,19,79,7822,19,79
4,20,3,uniform_distribution_low,14,80,7304,21,85,7293,21,85
4,20,4,uniform_distribution_low,18,80,7574,21,87,7568,21,87
4,20,5,uniform_distribution_low,22,80,9414,22,88,9395,22,88
4,20,6,uniform_distribution_low,26,80,8605,22,88,8502,21,87
4,20,7,uniform_distribution_low,30,80,9293,22,88,9261,22,88
4,20,8,uniform_distribution_low,34,80,10014,23,92,9992,22,91
4,20,9,uniform_distribution_low,38,80,8315,22,91,8235,22,90
4,24,1,uniform_distribution_low,6,96,7806,16,66,7806,16,66
4,24,2,uniform_distribution_low,10,96,9082,19,79,9082,19,79
4,24,3,uniform_distribution_low,14,96,10486,21,85,10467,21,85
4,24,4,uniform_distribution_low,18,96,11185,22,88,11172,22,88
4,24,5,uniform_distribution_low,22,96,11496,22,89,11490,22,89
4,24,6,uniform_distribution_low,26,96,10755,22,91,10740,22,91
4,24,7,uniform_distribution_low,30,96,10848,22,90,10829,22,90
