num_of_agents,num_of_items,L,D,greedy_approximation,greedy_approximation_to_total,greedy_approximation_to_MMS,weak_greedy_approximation,weak_greedy_approximation_to_total,weak_greedy_approximation_to_MMS
4,16,1,6,1010,15,61,1010,15,61
4,16,2,10,1121,16,67,1110,16,67
4,16,3,14,501,7,30,477,7,28
4,16,4,18,58,0,3,0,0,0
4,16,5,22,0,0,0,0,0,0
4,16,6,26,0,0,0,0,0,0
4,16,7,30,0,0,0,0,0,0
4,16,8,34,0,0,0,0,0,0
4,16,9,38,0,0,0,0,0,0
4,32,1,6,2571,16,65,2571,16,65
4,32,2,10,2968,19,76,2908,18,74
4,32,3,14,3236,20,82,3222,20,82
4,32,4,18,3215,20,82,3152,20,80
4,32,5,22,3130,20,80,3100,19,79
4,32,6,26,2433,15,62,2268,14,58
4,32,7,30,1394,8,35,805,5,20
4,32,8,34,637,4,16,0,0,0
4,32,9,38,241,1,6,0,0,0
4,48,1,6,3942,16,66,3942,16,66
4,48,2,10,4677,19,78,4676,19,78
4,48,3,14,4988,21,84,4980,20,83
4,48,4,18,5015,21,84,5012,21,84
4,48,5,22,5269,22,88,5200,21,87
4,48,6,26,5296,22,89,5262,22,88
4,48,7,30,5116,21,86,5019,21,84
4,48,8,34,4562,19,76,4320,18,72
4,48,9,38,3771,15,63,3600,15,60
4,64,1,6,4585,16,66,4585,16,66
4,64,2,10,5441,19,79,5440,19,78
4,64,3,14,5861,21,85,5853,21,84
4,64,4,18,6064,22,88,6060,21,87
4,64,5,22,6013,21,87,6000,21,87
4,64,6,26,6127,22,88,6102,22,88
4,64,7,30,6209,22,90,6118,22,88
4,64,8,34,5896,21,85,5800,21,84
4,64,9,38,5648,20,82,5553,20,80
4,80,1,6,6621,16,66,6621,16,66
4,80,2,10,7841,19,78,7838,19,78
4,80,3,14,8391,21,84,8379,20,83
4,80,4,18,8745,21,87,8720,21,87
4,80,5,22,8663,21,86,8635,21,86
4,80,6,26,8682,21,86,8616,21,86
4,80,7,30,8427,21,84,8358,20,83
4,80,8,34,8955,22,89,8888,22,89
4,80,9,38,9157,22,91,9090,22,91
4,96,1,6,8033,16,66,8033,16,66
4,96,2,10,9632,19,79,9632,19,79
4,96,3,14,10174,21,84,10170,21,84
4,96,4,18,10657,22,88,10624,22,88
4,96,5,22,10821,22,89,10805,22,89
4,96,6,26,10818,22,89,10764,22,89
4,96,7,30,10951,22,90,10864,22,90
4,96,8,34,10570,21,87,10480,21,86
4,96,9,38,10851,22,90,10737,22,89
4,112,1,6,9468,16,66,9468,16,66
4,112,2,10,11324,19,79,11316,19,79
4,112,3,14,12071,21,84,12063,21,84
4,112,4,18,12483,21,87,12444,21,87
4,112,5,22,12690,22,89,12595,22,88
4,112,6,26,13006,22,91,12966,22,91
4,112,7,30,12957,22,91,12887,22,90
4,112,8,34,12937,22,90,12888,22,90
4,112,9,38,12391,21,87,12168,21,85
4,128,1,6,10260,16,66,10260,16,66
4,128,2,10,12284,19,79,12280,19,79
4,128,3,14,13183,21,85,13176,21,85
4,128,4,18,13632,22,88,13600,22,88
4,128,5,22,13853,22,89,13830,22,89
4,128,6,26,14046,22,91,14016,22,90
4,128,7,30,14214,23,92,14196,23,92
4,128,8,34,14341,23,93,14320,23,92
4,128,9,38,14308,23,92,14265,23,92
4,144,1,6,11611,16,66,11611,16,66
4,144,2,10,13931,19,79,13930,19,79
4,144,3,14,14901,21,85,14901,21,85
4,144,4,18,15448,22,88,15448,22,88
4,144,5,22,15797,22,90,15790,22,90
4,144,6,26,15978,22,91,15966,22,91
4,144,7,30,16181,23,92,16156,23,92
4,144,8,34,16241,23,93,16216,23,93
4,144,9,38,16320,23,93,16299,23,93
4,160,1,6,13401,16,66,13401,16,66
4,160,2,10,16077,19,79,16076,19,79
4,160,3,14,17215,21,85,17211,21,85
4,160,4,18,17837,22,88,17832,22,88
4,160,5,22,18127,22,90,18110,22,90
4,160,6,26,18327,22,91,18300,22,90
4,160,7,30,18364,22,91,18333,22,91
4,160,8,34,18567,23,92,18520,23,92
4,160,9,38,18565,23,92,18468,22,91
4,176,1,6,15041,16,66,15041,16,66
4,176,2,10,18033,19,79,18032,19,79
4,176,3,14,19310,21,85,19293,21,85
4,176,4,18,20029,22,88,20024,22,88
4,176,5,22,20291,22,89,20265,22,89
4,176,6,26,20624,22,91,20610,22,91
4,176,7,30,20714,22,91,20671,22,91
4,176,8,34,20904,23,92,20856,23,92
4,176,9,38,20976,23,92,20943,23,92
4,192,1,6,15822,16,66,15822,16,66
4,192,2,10,18984,19,79,18974,19,79
4,192,3,14,20319,21,85,20313,21,85
4,192,4,18,21067,22,88,21064,22,88
4,192,5,22,21538,22,90,21510,22,90
4,192,6,26,21818,22,91,21804,22,91
4,192,7,30,22066,23,92,22036,23,92
4,192,8,34,22279,23,93,22264,23,93
4,192,9,38,22311,23,93,22284,23,93
4,208,1,6,17150,16,66,17150,16,66
4,208,2,10,20549,19,79,20548,19,79
4,208,3,14,21969,21,85,21957,21,85
4,208,4,18,22806,22,88,22804,22,88
4,208,5,22,23310,22,90,23290,22,90
4,208,6,26,23597,22,91,23556,22,91
4,208,7,30,23863,23,92,23800,23,92
4,208,8,34,24089,23,93,24008,23,93
4,208,9,38,24177,23,93,24147,23,93
4,224,1,6,18016,16,66,18016,16,66
4,224,2,10,21614,19,79,21614,19,79
4,224,3,14,23136,21,85,23133,21,85
4,224,4,18,23986,22,88,23980,22,88
4,224,5,22,24485,22,90,24475,22,90
4,224,6,26,24847,22,91,24822,22,91
4,224,7,30,25035,23,92,25025,23,92
4,224,8,34,25385,23,93,25376,23,93
4,224,9,38,25524,23,94,25461,23,94
4,240,1,6,20182,16,66,20182,16,66
4,240,2,10,24202,19,79,24194,19,79
4,240,3,14,25937,21,85,25935,21,85
4,240,4,18,26878,22,88,26872,22,88
4,240,5,22,27437,22,90,27405,22,90
4,240,6,26,27818,22,91,27804,22,91
4,240,7,30,28022,23,92,27944,23,92
4,240,8,34,28256,23,93,28216,23,93
4,240,9,38,28545,23,94,28512,23,94
4,256,1,6,21594,16,66,21594,16,66
4,256,2,10,25903,19,79,25900,19,79
4,256,3,14,27752,21,85,27747,21,85
4,256,4,18,28735,22,88,28704,22,88
4,256,5,22,29392,22,90,29385,22,90
4,256,6,26,29774,22,91,29760,22,91
4,256,7,30,30142,23,93,30086,23,92
4,256,8,34,30368,23,93,30344,23,93
4,256,9,38,30297,23,93,30276,23,93
4,272,1,6,22043,16,66,22043,16,66
4,272,2,10,26447,19,79,26446,19,79
4,272,3,14,28329,21,85,28326,21,85
4,272,4,18,29374,22,88,29372,22,88
4,272,5,22,29996,22,90,29975,22,90
4,272,6,26,30454,23,92,30408,22,91
4,272,7,30,30749,23,92,30716,23,92
4,272,8,34,30995,23,93,30952,23,93
4,272,9,38,31048,23,93,31014,23,93
4,288,1,6,24610,16,66,24610,16,66
4,288,2,10,29522,19,79,29522,19,79
4,288,3,14,31626,21,85,31623,21,85
4,288,4,18,32782,22,88,32780,22,88
4,288,5,22,33489,22,90,33460,22,90
