num_of_agents,num_of_items,L,D,greedy_approximation,greedy_approximation_to_total,greedy_approximation_to_MMS,weak_greedy_approximation,weak_greedy_approximation_to_total,weak_greedy_approximation_to_MMS
4,288,6,26,33977,23,92,33966,22,91
4,288,7,30,34354,23,93,34328,23,92
4,288,8,34,34644,23,93,34632,23,93
4,288,9,38,34844,23,94,34794,23,94
4,304,1,6,24602,16,66,24602,16,66
4,304,2,10,29522,19,79,29522,19,79
4,304,3,14,31603,21,85,31596,21,85
4,304,4,18,32750,22,88,32740,22,88
4,304,5,22,33473,22,90,33455,22,90
4,304,6,26,33988,23,92,33966,23,92
4,304,7,30,34320,23,92,34300,23,92
4,304,8,34,34429,23,93,34304,23,92
4,304,9,38,34663,23,93,34497,23,93
6,24,1,9,1251,10,62,1251,10,62
6,24,2,15,1396,11,70,1388,11,69
6,24,3,21,932,7,46,834,6,41
6,24,4,27,61,0,3,0,0,0
6,24,5,33,0,0,0,0,0,0
6,24,6,39,0,0,0,0,0,0
6,24,7,45,0,0,0,0,0,0
6,24,8,51,0,0,0,0,0,0
6,24,9,57,0,0,0,0,0,0
6,48,1,9,3075,10,65,3075,10,65
6,48,2,15,3315,11,70,3310,11,70
6,48,3,21,3483,12,74,3471,12,73
6,48,4,27,3597,12,76,3588,12,76
6,48,5,33,3695,13,78,3665,13,78
6,48,6,39,2924,10,62,2892,10,61
6,48,7,45,842,2,17,392,1,8
6,48,8,51,120,0,2,0,0,0
6,48,9,57,0,0,0,0,0,0
6,72,1,9,4211,10,65,4211,10,65
6,72,2,15,5010,13,78,5008,13,78
6,72,3,21,5332,13,83,5325,13,83
6,72,4,27,5385,14,84,5372,14,84
6,72,5,33,5659,14,88,5645,14,88
6,72,6,39,5682,14,88,5652,14,88
6,72,7,45,5454,14,85,5369,14,84
6,72,8,51,4804,12,75,4704,12,73
6,72,9,57,4201,10,65,4104,10,64
6,96,1,9,5682,11,66,5682,11,66
6,96,2,15,6780,13,79,6776,13,79
6,96,3,21,7192,14,84,7188,14,84
6,96,4,27,7490,14,87,7472,14,87
6,96,5,33,7074,13,82,7000,13,81
6,96,6,39,7535,14,88,7530,14,88
6,96,7,45,7798,15,91,7770,15,90
6,96,8,51,7791,15,91,7688,14,89
6,96,9,57,7576,14,88,7461,14,87
6,120,1,9,6854,11,66,6854,11,66
6,120,2,15,8141,13,79,8122,13,78
6,120,3,21,8736,14,84,8733,14,84
6,120,4,27,9033,14,87,9028,14,87
6,120,5,33,9254,14,89,9245,14,89
6,120,6,39,8916,14,86,8850,14,85
6,120,7,45,9017,14,87,8995,14,87
6,120,8,51,9379,15,91,9368,15,91
6,120,9,57,9612,15,93,9585,15,93
6,144,1,9,8140,11,66,8140,11,66
6,144,2,15,9743,13,79,9742,13,79
6,144,3,21,10343,14,84,10329,14,84
6,144,4,27,10731,14,87,10708,14,87
6,144,5,33,10972,14,89,10950,14,89
6,144,6,39,10968,14,89,10950,14,89
6,144,7,45,10948,14,89,10843,14,88
6,144,8,51,10540,14,86,10504,14,85
6,144,9,57,11096,15,90,11070,15,90
6,168,1,9,9818,11,66,9818,11,66
6,168,2,15,11774,13,79,11774,13,79
6,168,3,21,12529,14,84,12513,14,84
6,168,4,27,13028,14,88,13020,14,88
6,168,5,33,13168,14,89,13145,14,89
6,168,6,39,13489,15,91,13476,15,91
6,168,7,45,13648,15,92,13608,15,92
6,168,8,51,13385,15,90,13312,15,90
6,168,9,57,12903,14,87,12780,14,86
6,192,1,9,10545,11,66,10545,11,66
6,192,2,15,12622,13,79,12614,13,79
6,192,3,21,13479,14,85,13476,14,85
6,192,4,27,13970,14,88,13960,14,88
6,192,5,33,14126,14,89,14100,14,89
6,192,6,39,14290,15,90,14232,14,89
6,192,7,45,14600,15,92,14553,15,91
6,192,8,51,14563,15,91,14416,15,91
6,192,9,57,14632,15,92,14562,15,91
6,216,1,9,12538,11,66,12538,11,66
6,216,2,15,15032,13,79,15032,13,79
6,216,3,21,16056,14,85,16053,14,85
6,216,4,27,16527,14,87,16516,14,87
6,216,5,33,16969,15,90,16965,15,90
6,216,6,39,17216,15,91,17196,15,91
6,216,7,45,17172,15,91,17122,15,90
6,216,8,51,17479,15,92,17456,15,92
6,216,9,57,17339,15,92,17262,15,91
6,240,1,9,13615,11,66,13615,11,66
6,240,2,15,16325,13,79,16318,13,79
6,240,3,21,17481,14,85,17478,14,85
6,240,4,27,18142,14,88,18132,14,88
6,240,5,33,18496,15,90,18485,15,90
6,240,6,39,18765,15,91,18744,15,91
6,240,7,45,18773,15,91,18746,15,91
6,240,8,51,19096,15,93,19080,15,93
6,240,9,57,18832,15,92,18756,15,91
6,264,1,9,14626,11,66,14626,11,66
6,264,2,15,17550,13,79,17550,13,79
6,264,3,21,18777,14,85,18777,14,85
6,264,4,27,19476,14,88,19476,14,88
6,264,5,33,19808,15,90,19800,15,90
6,264,6,39,20122,15,91,20106,15,91
6,264,7,45,20230,15,92,20216,15,92
6,264,8,51,20301,15,92,20288,15,92
6,264,9,57,20496,15,93,20484,15,93
6,288,1,9,16418,11,66,16418,11,66
6,288,2,15,19690,13,79,19686,13,79
6,288,3,21,21063,14,85,21063,14,85
6,288,4,27,21803,14,88,21800,14,88
6,288,5,33,22335,15,90,22325,15,90
6,288,6,39,22628,15,91,22620,15,91
6,288,7,45,22841,15,92,22820,15,92
6,288,8,51,23033,15,93,22992,15,93
6,288,9,57,22932,15,93,22878,15,92
6,312,1,9,17772,11,66,17772,11,66
6,312,2,15,21309,13,79,21308,13,79
6,312,3,21,22760,14,85,22758,14,85
6,312,4,27,23636,14,88,23636,14,88
6,312,5,33,24158,15,90,24155,15,90
6,312,6,39,24381,15,91,24336,15,91
6,312,7,45,24451,15,91,24409,15,91
6,312,8,51,25030,15,93,25000,15,93
6,312,9,57,24916,15,93,24840,15,93
6,336,1,9,18083,11,66,18083,11,66
6,336,2,15,21692,13,79,21692,13,79
6,336,3,21,23171,14,85,23154,14,85
6,336,4,27,24090,14,88,24072,14,88
6,336,5,33,24645,15,90,24635,15,90
6,336,6,39,24917,15,91,24912,15,91
6,336,7,45,25170,15,92,25144,15,92
6,336,8,51,25289,15,93,25264,15,93
6,336,9,57,25382,15,93,25362,15,93
6,360,1,9,20387,11,66,20387,11,66
6,360,2,15,24443,13,79,24442,13,79
6,360,3,21,26158,14,85,26157,14,85
6,360,4,27,27152,14,88,27152,14,88
6,360,5,33,27664,15,90,27660,15,90
6,360,6,39,28151,15,92,28146,15,92
6,360,7,45,28394,15,92,28378,15,92
6,360,8,51,28617,15,93,28600,15,93
6,360,9,57,28839,15,94,28827,15,94
6,384,1,9,20197,11,66,20197,11,66
6,384,2,15,24230,13,79,24230,13,79
6,384,3,21,25943,14,85,25941,14,85
6,384,4,27,26869,14,88,26868,14,88
6,384,5,33,27516,15,90,27510,15,90
6,384,6,39,27848,15,91,27840,15,91
6,384,7,45,28220,15,93,28210,15,93
6,384,8,51,28384,15,93,28376,15,93
6,384,9,57,28527,15,94,28512,15,94
6,408,1,9,21956,11,66,21956,11,66
6,408,2,15,26342,13,79,26340,13,79
6,408,3,21,28213,14,85,28212,14,85
6,408,4,27,29214,14,88,29208,14,88
6,408,5,33,29914,15,90,29910,15,90
6,408,6,39,30334,15,92,30324,15,92
6,408,7,45,30575,15,92,30562,15,92
6,408,8,51,30945,15,93,30904,15,93
6,408,9,57,30964,15,94,30942,15,93
6,432,1,9,23523,11,66,23523,11,66
6,432,2,15,28208,13,79,28208,13,79
6,432,3,21,30220,14,85,30219,14,85
6,432,4,27,31287,14,88,31276,14,88
6,432,5,33,31998,15,90,31995,15,90
6,432,6,39,32515,15,92,32508,15,92
6,432,7,45,32808,15,92,32774,15,92
6,432,8,51,33101,15,93,33080,15,93
6,432,9,57,33286,15,94,33264,15,94
6,456,1,9,25661,11,66,25661,11,66
6,456,2,15,30789,13,79,30788,13,79
6,456,3,21,32982,14,85,32982,14,85
6,456,4,27,34178,14,88,34172,14,88
6,456,5,33,34947,15,90,34945,15,90
6,456,6,39,35459,15,92,35454,15,92
6,456,7,45,35841,15,93,35826,15,93
6,456,8,51,36072,15,93,36056,15,93
6,456,9,57,36351,15,94,36351,15,94
4,16,1,6,1020,16,65,1020,16,65
4,16,2,10,783,12,49,782,12,49
4,16,3,14,300,4,19,273,4,17
4,16,4,18,60,0,3,0,0,0
4,16,5,22,0,0,0,0,0,0
4,16,6,26,0,0,0,0,0,0
4,16,7,30,0,0,0,0,0,0
4,16,8,34,0,0,0,0,0,0
4,16,9,38,0,0,0,0,0,0
4,32,1,6,2319,16,65,2319,16,65
4,32,2,10,2729,19,77,2718,19,76
4,32,3,14,2885,20,81,2874,20,81
4,32,4,18,2885,20,81,2868,20,80
4,32,5,22,2355,16,66,2270,16,64
4,32,6,26,1653,11,46,1398,9,39
4,32,7,30,934,6,26,385,2,10
4,32,8,34,404,2,11,0,0,0
4,32,9,38,55,0,1,0,0,0
4,48,1,6,3481,16,66,3481,16,66
4,48,2,10,4163,19,79,4162,19,79
4,48,3,14,4395,20,83,4389,20,83
4,48,4,18,4460,21,85,4452,21,85
4,48,5,22,4542,21,86,4475,21,85
4,48,6,26,4555,21,87,4482,21,85
4,48,7,30,4037,19,77,3878,18,74
4,48,8,34,2825,13,53,2672,12,51
4,48,9,38,2025,9,38,1944,9,37
4,64,1,6,5007,16,66,5007,16,66
4,64,2,10,5995,19,79,5994,19,79
4,64,3,14,6353,21,84,6348,21,84
4,64,4,18,6541,21,87,6528,21,86
4,64,5,22,6533,21,86,6520,21,86
4,64,6,26,6718,22,89,6702,22,89
4,64,7,30,6812,22,90,6790,22,90
4,64,8,34,6811,22,90,6784,22,90
4,64,9,38,6477,21,86,6417,21,85
4,80,1,6,6430,16,66,6430,16,66
4,80,2,10,7704,19,79,7704,19,79
4,80,3,14,8150,21,84,8145,21,84
4,80,4,18,8542,22,88,8528,22,88
4,80,5,22,8555,22,88,8500,21,87
4,80,6,26,8344,21,86,8268,21,85
4,80,7,30,8459,21,87,8400,21,86
4,80,8,34,8792,22,90,8784,22,90
4,80,9,38,9010,23,93,8982,23,92
4,96,1,6,8533,16,66,8533,16,66
4,96,2,10,10233,19,79,10228,19,79
4,96,3,14,10921,21,85,10917,21,85
4,96,4,18,11158,21,87,11120,21,86
4,96,5,22,11424,22,89,11405,22,89
4,96,6,26,11604,22,90,11586,22,90
4,96,7,30,11490,22,89,11375,22,88
4,96,8,34,11468,22,89,11392,22,88
4,96,9,38,11743,22,91,11691,22,91
4,112,1,6,8992,16,66,8992,16,66
4,112,2,10,10776,19,79,10776,19,79
4,112,3,14,11538,21,85,11538,21,85
4,112,4,18,11912,22,88,11904,22,88
4,112,5,22,12186,22,90,12180,22,90
4,112,6,26,12305,22,91,12300,22,91
4,112,7,30,12414,23,92,12383,22,91
4,112,8,34,12173,22,90,12152,22,90
4,112,9,38,12214,22,90,12186,22,90
4,128,1,6,11182,16,66,11182,16,66
4,128,2,10,13364,19,79,13364,19,79
4,128,3,14,14324,21,85,14301,21,85
4,128,4,18,14901,22,88,14892,22,88
4,128,5,22,15186,22,90,15170,22,90
4,128,6,26,15167,22,90,14994,22,89
4,128,7,30,15496,23,92,15477,23,92
4,128,8,34,15674,23,93,15608,23,92
4,128,9,38,15507,23,92,15318,22,91
4,144,1,6,11470,16,66,11470,16,66
4,144,2,10,13765,19,79,13764,19,79
4,144,3,14,14733,21,85,14730,21,85
4,144,4,18,15274,22,88,15272,22,88
4,144,5,22,15593,22,90,15585,22,90
4,144,6,26,15696,22,91,15690,22,91
4,144,7,30,15968,23,92,15960,23,92
4,144,8,34,15901,23,92,15872,23,92
4,144,9,38,16165,23,93,16119,23,93
4,160,1,6,12686,16,66,12686,16,66
4,160,2,10,15178,19,79,15174,19,79
4,160,3,14,16281,21,85,16278,21,85
4,160,4,18,16826,22,88,16788,22,88
4,160,5,22,17233,22,90,17220,22,90
4,160,6,26,17506,22,91,17496,22,91
4,160,7,30,17483,22,91,17430,22,91
4,160,8,34,17652,23,92,17624,23,92
4,160,9,38,17675,23,92,17622,23,92
4,176,1,6,15289,16,66,15289,16,66
4,176,2,10,18334,19,79,18334,19,79
4,176,3,14,19621,21,85,19605,21,85
4,176,4,18,20315,22,88,20308,22,88
4,176,5,22,20666,22,90,20600,22,89
4,176,6,26,21015,22,91,20994,22,91
4,176,7,30,21143,23,92,21126,23,92
4,176,8,34,21076,22,91,21040,22,91
4,176,9,38,21331,23,92,21276,23,92
4,192,1,6,15858,16,66,15858,16,66
4,192,2,10,19010,19,79,19004,19,79
4,192,3,14,20345,21,85,20343,21,85
4,192,4,18,21043,22,88,21036,22,88
4,192,5,22,21577,22,90,21570,22,90
4,192,6,26,21733,22,91,21702,22,91
4,192,7,30,21919,23,92,21868,22,91
4,192,8,34,22189,23,93,22160,23,93
4,192,9,38,22023,23,92,21843,22,91
4,208,1,6,17759,16,66,17759,16,66
4,208,2,10,21275,19,79,21272,19,79
4,208,3,14,22754,21,85,22752,21,85
4,208,4,18,23647,22,88,23616,22,88
4,208,5,22,24160,22,90,24110,22,90
4,208,6,26,24390,22,91,24252,22,90
4,208,7,30,24751,23,92,24675,23,92
4,208,8,34,24927,23,93,24864,23,93
4,208,9,38,25064,23,94,25011,23,93
4,224,1,6,18055,16,66,18055,16,66
4,224,2,10,21654,19,79,21648,19,79
4,224,3,14,23157,21,85,23142,21,85
4,224,4,18,24031,22,88,24020,22,88
4,224,5,22,24581,22,90,24570,22,90
4,224,6,26,24857,22,91,24828,22,91
4,224,7,30,25111,23,92,25081,23,92
4,224,8,34,25258,23,93,25248,23,93
4,224,9,38,25465,23,94,25416,23,93
4,240,1,6,19897,16,66,19897,16,66
4,240,2,10,23861,19,79,23860,19,79
4,240,3,14,25570,21,85,25560,21,85
4,240,4,18,26509,22,88,26504,22,88
4,240,5,22,27069,22,90,27040,22,90
4,240,6,26,27490,23,92,27480,23,92
4,240,7,30,27793,23,93,27769,23,93
4,240,8,34,28009,23,93,27992,23,93
4,240,9,38,28138,23,94,28107,23,94
4,256,1,6,21751,16,66,21751,16,66
4,256,2,10,26100,19,79,26100,19,79
4,256,3,14,27954,21,85,27948,21,85
4,256,4,18,28974,22,88,28968,22,88
4,256,5,22,29632,22,90,29625,22,90
4,256,6,26,30036,23,92,30024,23,92
4,256,7,30,30404,23,93,30387,23,93
4,256,8,34,30646,23,93,30616,23,93
4,256,9,38,30620,23,93,30600,23,93
4,272,1,6,21985,16,66,21985,16,66
4,272,2,10,26378,19,79,26376,19,79
4,272,3,14,28257,21,85,28254,21,85
4,272,4,18,29289,22,88,29284,22,88
4,272,5,22,29945,22,90,29940,22,90
4,272,6,26,30421,23,92,30414,23,92
4,272,7,30,30714,23,93,30702,23,93
4,272,8,34,30919,23,93,30840,23,93
4,272,9,38,31128,23,94,31086,23,94
4,288,1,6,22634,16,66,22634,16,66
4,288,2,10,27149,19,79,27148,19,79
4,288,3,14,29092,21,85,29085,21,85
4,288,4,18,30138,22,88,30104,22,88
4,288,5,22,30807,22,90,30780,22,90
4,288,6,26,31241,22,91,31206,22,91
4,288,7,30,31563,23,92,31556,23,92
4,288,8,34,31844,23,93,31816,23,93
4,288,9,38,32045,23,94,32013,23,94
4,304,1,6,24817,16,66,24817,16,66
4,304,2,10,29780,19,79,29780,19,79
4,304,3,14,31877,21,85,31872,21,85
4,304,4,18,33039,22,88,33020,22,88
4,304,5,22,33759,22,90,33750,22,90
4,304,6,26,34268,23,92,34260,22,91
4,304,7,30,34685,23,93,34671,23,93
4,304,8,34,34868,23,93,34760,23,93
4,304,9,38,35175,23,94,35100,23,94
6,24,1,9,1292,10,65,1292,10,65
6,24,2,15,1388,11,70,1386,11,69
6,24,3,21,448,3,22,327,2,16
6,24,4,27,17,0,0,0,0,0
6,24,5,33,0,0,0,0,0,0
6,24,6,39,0,0,0,0,0,0
6,24,7,45,0,0,0,0,0,0
6,24,8,51,0,0,0,0,0,0
6,24,9,57,0,0,0,0,0,0
6,48,1,9,2178,10,65,2178,10,65
6,48,2,15,2607,13,78,2604,13,78
6,48,3,21,2638,13,79,2628,13,78
6,48,4,27,2668,13,80,2664,13,79
6,48,5,33,2227,11,66,2200,11,66
6,48,6,39,1855,9,55,1836,9,55
6,48,7,45,837,4,25,609,3,18
6,48,8,51,197,0,5,0,0,0
6,48,9,57,0,0,0,0,0,0
6,72,1,9,3951,11,66,3951,11,66
6,72,2,15,4629,12,77,4628,12,77
6,72,3,21,5044,14,84,5040,14,84
6,72,4,27,4936,13,82,4924,13,82
6,72,5,33,5255,14,88,5235,14,87
6,72,6,39,5302,14,89,5172,14,86
6,72,7,45,5053,14,84,4879,13,81
6,72,8,51,4647,13,78,4520,12,75
6,72,9,57,4015,11,67,3753,10,63
6,96,1,9,5514,11,66,5514,11,66
6,96,2,15,6589,13,79,6584,13,79
6,96,3,21,7048,14,85,7041,14,85
6,96,4,27,7198,14,86,7184,14,86
6,96,5,33,6963,14,84,6940,13,83
6,96,6,39,7384,14,89,7368,14,88
6,96,7,45,7492,15,90,7434,14,89
6,96,8,51,7358,14,88,7312,14,88
6,96,9,57,7223,14,87,7092,14,85
6,120,1,9,6630,11,66,6630,11,66
6,120,2,15,7904,13,79,7896,13,79
6,120,3,21,8455,14,84,8451,14,84
6,120,4,27,8790,14,88,8780,14,88
6,120,5,33,8897,14,89,8885,14,89
6,120,6,39,8905,14,89,8874,14,89
6,120,7,45,8871,14,89,8813,14,88
6,120,8,51,9056,15,90,9048,15,90
6,120,9,57,9185,15,92,9153,15,91
6,144,1,9,7890,11,66,7890,11,66
6,144,2,15,9454,13,79,9452,13,79
6,144,3,21,10124,14,85,10104,14,85
6,144,4,27,10386,14,87,10380,14,87
6,144,5,33,10726,15,90,10715,15,90
6,144,6,39,10798,15,90,10746,15,90
6,144,7,45,10496,14,88,10409,14,87
6,144,8,51,10421,14,87,10368,14,87
6,144,9,57,10819,15,91,10809,15,91
6,168,1,9,9058,11,66,9058,11,66
6,168,2,15,10865,13,79,10864,13,79
6,168,3,21,11628,14,85,11625,14,85
6,168,4,27,12012,14,88,12004,14,88
6,168,5,33,12276,15,90,12265,15,90
6,168,6,39,12326,15,90,12312,15,90
6,168,7,45,12528,15,92,12502,15,91
6,168,8,51,12166,14,89,12144,14,89
6,168,9,57,11978,14,88,11880,14,87
6,192,1,9,9944,11,66,9944,11,66
6,192,2,15,11902,13,79,11900,13,79
6,192,3,21,12753,14,85,12750,14,85
6,192,4,27,13243,14,88,13240,14,88
6,192,5,33,13522,15,90,13515,15,90
6,192,6,39,13498,15,90,13440,15,90
6,192,7,45,13806,15,92,13797,15,92
6,192,8,51,13930,15,93,13920,15,93
6,192,9,57,13745,15,92,13716,15,91
6,216,1,9,12164,11,66,12164,11,66
6,216,2,15,14607,13,79,14606,13,79
6,216,3,21,15643,14,85,15642,14,85
6,216,4,27,16074,14,87,16040,14,87
6,216,5,33,16432,14,89,16415,14,89
6,216,6,39,16665,15,91,16656,15,91
6,216,7,45,16750,15,91,16723,15,91
6,216,8,51,16860,15,92,16848,15,92
6,216,9,57,16926,15,92,16857,15,92
6,240,1,9,13384,11,66,13384,11,66
6,240,2,15,16045,13,79,16044,13,79
6,240,3,21,17171,14,85,17169,14,85
6,240,4,27,17721,14,88,17716,14,88
6,240,5,33,18209,15,90,18200,15,90
6,240,6,39,18381,15,91,18342,15,91
6,240,7,45,18638,15,92,18613,15,92
6,240,8,51,18614,15,92,18576,15,92
6,240,9,57,18930,15,94,18918,15,94
6,264,1,9,14654,11,66,14654,11,66
6,264,2,15,17579,13,79,17578,13,79
6,264,3,21,18798,14,85,18795,14,85
6,264,4,27,19443,14,88,19440,14,88
6,264,5,33,19829,15,90,19795,14,89
6,264,6,39,20113,15,91,20100,15,91
6,264,7,45,20187,15,91,20132,15,91
6,264,8,51,20268,15,92,20232,15,91
6,264,9,57,20469,15,93,20466,15,93
6,288,1,9,15074,11,66,15074,11,66
6,288,2,15,18085,13,79,18084,13,79
6,288,3,21,19362,14,85,19362,14,85
6,288,4,27,20046,14,88,20044,14,88
6,288,5,33,20453,15,90,20450,15,90
6,288,6,39,20810,15,91,20796,15,91
6,288,7,45,21016,15,92,21000,15,92
6,288,8,51,21135,15,93,21112,15,93
6,288,9,57,21219,15,93,21186,15,93
6,312,1,9,17140,11,66,17140,11,66
6,312,2,15,20564,13,79,20564,13,79
6,312,3,21,22013,14,85,22011,14,85
6,312,4,27,22813,14,88,22812,14,88
6,312,5,33,23309,15,90,23305,15,90
6,312,6,39,23584,15,91,23574,15,91
6,312,7,45,23798,15,92,23793,15,92
6,312,8,51,23996,15,93,23968,15,93
6,312,9,57,24096,15,93,24075,15,93
6,336,1,9,19772,11,66,19772,11,66
