num_of_agents,num_of_items,L,D,greedy_approximation,greedy_approximation_to_total,greedy_approximation_to_MMS,weak_greedy_approximation,weak_greedy_approximation_to_total,weak_greedy_approximation_to_MMS
4,160,9,38,39209,23,93,39042,23,92
4,176,1,6,30158,16,66,30158,16,66
4,176,2,10,36181,19,79,36180,19,79
4,176,3,14,38749,21,85,38748,21,85
4,176,4,18,40111,22,88,40108,22,88
4,176,5,22,41040,22,90,41030,22,90
4,176,6,26,41459,22,91,41442,22,91
4,176,7,30,41656,23,92,41636,23,92
4,176,8,34,42008,23,92,41968,23,92
4,176,9,38,41855,23,92,41823,23,92
4,192,1,6,31910,16,66,31910,16,66
4,192,2,10,38290,19,79,38290,19,79
4,192,3,14,40992,21,85,40992,21,85
4,192,4,18,42485,22,88,42468,22,88
4,192,5,22,43451,22,90,43425,22,90
4,192,6,26,44082,23,92,44070,23,92
4,192,7,30,44561,23,93,44520,23,92
4,192,8,34,44693,23,93,44672,23,93
4,192,9,38,44550,23,93,44487,23,92
4,208,1,6,30537,16,66,30537,16,66
4,208,2,10,36639,19,79,36638,19,79
4,208,3,14,39230,21,85,39228,21,85
4,208,4,18,40687,22,88,40684,22,88
4,208,5,22,41587,22,90,41570,22,90
4,208,6,26,42190,23,92,42186,23,92
4,208,7,30,42600,23,92,42553,23,92
4,208,8,34,42992,23,93,42960,23,93
4,208,9,38,43111,23,94,43092,23,94
4,224,1,6,40184,16,66,40184,16,66
4,224,2,10,48215,19,79,48214,19,79
4,224,3,14,51656,21,85,51654,21,85
4,224,4,18,53527,22,88,53524,22,88
4,224,5,22,54771,22,90,54760,22,90
4,224,6,26,55479,23,92,55458,23,92
4,224,7,30,55915,23,92,55888,23,92
4,224,8,34,56296,23,93,56280,23,93
4,224,9,38,56259,23,93,56241,23,93
4,240,1,6,37304,16,66,37304,16,66
4,240,2,10,44758,19,79,44758,19,79
4,240,3,14,47954,21,85,47952,21,85
4,240,4,18,49721,22,88,49720,22,88
4,240,5,22,50827,22,90,50805,22,90
4,240,6,26,51610,23,92,51594,23,92
